protein,gene,A115,A116,A133,A134,A140,A144,A152,A113,A114,A118,A120,A136,A137,A139,A141,A143,A146,A147,A153,A117,A142,A148
CTNA1,CTNNA1,78758000,53706000,43187000,39801000,93300000,85706000,98120000,24862000,13021000,35707000,16422000,27890000,42290000,10425000,77384000,20891000,47915000,135250000,35400000,55763000,55655000,108300000
A1AT,SERPINA1,486050000,980930000,1177300000,895430000,754490000,1080400000,1558500000,1122800000,1022500000,1295500000,870630000,503900000,453650000,1162600000,674480000,648700000,617680000,458390000,943630000,381810000,748920000,841660000
LMNB2,LMNB2,41946000,56398000,42174000,29340000,11753000,53601000,49861000,27503000,22459000,24959000,14447000,18935000,15643000,10621000,58085000,12453000,49388000,44848000,37124000,37045000,29769000,36544000
GTF2I,GTF2I,13625000,43278000,12332000,16427000,27978000,27538000,38828000,8829200,14736000,12569000,4090200,13447000,14218000,7570400,16308000,10100000,21894000,52113000,18518000,18889000,15215000,29436000
SE1L1,SEL1L,5735400,9955000,11944000,5962500,9826500,11315000,17695000,16801000,27040000,9638000,5931700,11141000,4870500,2237700,15933000,6971500,23725000,26239000,3480600,16838000,24602000,28434000
ACADS,ACADS,6173000,5789700,4413700,3375000,6770400,8805000,11034000,5540100,11921000,5991100,1543100,7898800,4154700,4513600,14576000,2666700,8006100,7367500,6416400,15887000,7075300,22375000
SND1,SND1,69815000,147490000,100700000,75258000,204480000,136670000,167330000,113760000,118390000,129210000,42060000,62444000,49457000,11624000,85550000,52994000,157510000,188520000,66680000,91352000,155780000,129440000
MCCB,MCCC2,23439000,19702000,14842000,27755000,32503000,25590000,32220000,14260000,26692000,18299000,8245400,14263000,14067000,11793000,21282000,7313900,30386000,13983000,17506000,24024000,20998000,22467000
MP2K4,MAP2K4,3448500,7292400,4949100,3681300,9048000,10760000,8397900,10866000,5300800,4627300,1767900,2747200,2613800,1403100,8823600,1741800,7169900,13814000,3850700,4331500,7253900,11742000
GHC1,SLC25A22,7895000,18467000,6188500,5113500,13697000,4607700,9205300,9115900,13182000,10483000,3710600,6614800,8472500,5085700,17458000,2182800,21248000,20079000,6407900,10465000,7765600,39069000
VTDB,GC,118270000,200480000,267550000,215360000,256630000,221240000,93758000,175220000,186370000,103060000,132870000,98419000,116820000,223770000,79180000,133130000,157970000,173720000,231390000,139810000,162470000,106680000
ADA,ADA,4300900,4529500,5134900,5092400,9449100,10362000,5304200,6422200,7542200,7008400,1824100,3118200,1167700,2065000,3011700,1798400,5865400,6432500,3127900,5331200,6674700,11896000
P5CR2,PYCR2,4024700,13297000,1981900,3424800,7752900,5640400,5094400,3753900,14483000,5955800,1906600,12148000,2803000,1047100,8817100,548600,6784100,24949000,5241500,7644100,2676900,9187900
NCEH1,NCEH1,17014000,20514000,10674000,18351000,33935000,24846000,14576000,8862100,32678000,58534000,7298900,6418900,6876400,9274400,13617000,8672000,19126000,45529000,16052000,42592000,29982000,47946000
NACAM,NACA,80969000,123030000,63842000,95776000,227940000,167110000,197950000,72680000,84790000,92382000,35858000,48076000,60635000,31873000,72590000,39876000,166650000,203080000,67053000,82583000,130830000,244950000
SRPRB,SRPRB,15589000,24339000,21298000,18767000,48525000,40141000,33962000,31266000,29448000,26007000,8349400,16008000,10172000,9031000,25910000,14930000,28419000,34450000,17204000,28785000,23950000,36845000
HXK3,HK3,11347000,20694000,21154000,14123000,18631000,22679000,28948000,6367600,5835900,23414000,6169900,9553100,6078200,19966000,5242500,4108500,19411000,18132000,15030000,13121000,8497100,35945000
ECI2,ECI2,3417700,4923800,7248400,7636200,4748100,7258100,9645200,2741300,5836000,9983500,2898100,6512200,3124300,5860300,10637000,2224800,13789000,14519000,7270600,7464500,7583100,12479000
SPS2L,SPATS2L,5482200,8589700,2494400,6703700,13063000,6087300,6622300,12215000,7905300,6673300,1729100,5156400,4993100,1602000,4377800,4124300,8271300,10198000,5495900,3245500,8924300,8384400
MCM5,MCM5,17753000,43953000,11853000,13761000,17566000,35711000,46258000,10580000,33397000,35610000,7572400,7445400,9892800,1069000,28834000,6553900,14211000,33784000,14390000,14769000,30444000,23365000
MATR3,MATR3,46731000,88263000,40749000,46596000,118260000,104720000,118630000,38598000,36200000,39791000,19921000,42925000,25458000,10045000,67345000,20038000,72151000,135850000,35813000,70483000,63839000,157740000
CFAD,CFD,8006700,14583000,15680000,10561000,15196000,7506400,5332900,20338000,5599400,10793000,8138700,5623300,2824500,4787300,13677000,5819400,5551000,10754000,13931000,7124500,6214600,27869000
TM245,TMEM245,1220100,1927900,973850,1222100,2295500,1811900,1807900,1067100,44031,1123900,805000,1115900,1389900,829840,2118900,838530,2590100,7643800,2208000,2518700,2902500,2372900
CSN6,COPS6,9263400,15206000,11735000,13481000,15287000,17405000,21609000,7365600,13338000,12395000,6088200,6043400,7612200,4737800,13436000,4464400,12583000,14459000,12401000,9608300,10882000,19433000
CDC5L,CDC5L,5592600,17202000,7965200,9319500,13844000,13187000,23842000,5763300,8897600,13369000,4603000,4629500,2873800,1858600,11901000,1944800,16229000,23600000,4878900,5908000,7683600,19721000
KDSR,KDSR,15670000,15794000,6031400,10786000,9359500,12626000,9909100,8452300,19306000,11990000,4361300,5618200,3045500,2051700,14788000,4802300,5994300,10717000,5695200,11626000,8492800,8914200
ITB6,ITGB6,1935300,25221000,1692000,3224900,4025400,7061300,5582100,2954300,3944400,3429300,3388100,2354600,3719400,2440300,6419500,5120100,1730100,11088000,6010700,6469700,5228000,7146700
PRKDC,PRKDC,42584000,75127000,24305000,34199000,67163000,74574000,93698000,33017000,33020000,47335000,12895000,17428000,25323000,8077300,45617000,10923000,85693000,107710000,23335000,40399000,36424000,95128000
PRDX6,PRDX6,255400000,415510000,261380000,216190000,386850000,461510000,442030000,232740000,344410000,333280000,131220000,261380000,164110000,107310000,387280000,117140000,458760000,339850000,278950000,199030000,106820000,311700000
SPSY,SMS,33774000,28646000,11590000,41331000,47007000,45278000,46365000,7727300,23034000,17709000,10302000,11858000,8899700,5916600,20805000,10021000,29387000,50222000,14192000,38369000,36973000,69254000
ENPL,HSP90B1,348880000,883910000,329580000,497760000,995330000,758570000,1068800000,787950000,665940000,664960000,280590000,390480000,199430000,134160000,588110000,369180000,1009900000,642620000,451300000,307900000,753010000,1061400000
PUF60,PUF60,32187000,65134000,31447000,39273000,77765000,55840000,96510000,34113000,32021000,30212000,13451000,21571000,25384000,9698100,40226000,14874000,63066000,78048000,27832000,39701000,54477000,122630000
COQ9,COQ9,3391900,1405300,2592600,1575200,3761500,2099100,2067000,1533200,4098900,2921800,1244100,2179100,2595700,920710,4787700,1355500,2971400,3251300,3029100,4048000,3721100,5419500
SCMC1,SLC25A24,11312000,14491000,18663000,17204000,28932000,32512000,25450000,22696000,26689000,41055000,16452000,16343000,11300000,9346900,24237000,10306000,39681000,65048000,20045000,34868000,29910000,50108000
PSB9,PSMB9,13334000,27956000,13823000,13659000,21130000,33595000,16400000,13860000,44404000,34955000,9733900,9550700,12840000,10706000,24574000,9690300,21619000,36653000,21669000,24646000,36271000,57365000
LMNB1,LMNB1,66777000,110940000,95011000,72694000,172070000,103580000,104760000,68306000,52553000,98205000,23230000,51070000,42083000,48252000,134400000,29267000,120500000,146250000,56418000,65960000,56590000,129590000
RAB6A,RAB6A,139600000,155100000,121830000,323490000,43108000,272360000,151060000,147250000,178580000,175550000,55089000,75631000,89574000,79809000,160900000,124200000,170710000,68245000,311370000,213250000,36031000,58659000
CNDP2,CNDP2,86662000,103310000,78902000,44011000,95743000,130720000,175880000,71948000,173250000,231730000,74744000,111740000,113670000,10012000,165140000,60056000,120460000,223490000,85345000,85976000,170040000,189840000
HCK,HCK,4583200,4950700,4659000,5238400,18939000,5578900,7038200,4136500,7606700,7073700,2398800,3619500,2042400,2078800,3740700,1659600,7458100,9398000,3610500,5539000,5438600,11547000
SRP68,SRP68,7493100,14045000,9268500,6225200,22333000,18468000,25744000,10908000,18233000,18432000,4938900,7747000,4710800,1364700,5898500,6683000,21160000,12606000,6966200,7088500,10116000,26118000
TSYL5,TSPYL5,245280,17858000,322810,1457600,4025200,798420,19100000,517370,270870,721800,289170,147360,313730,198840,363870,NA,684150,1912100,393890,428060,485580,1167600
LAMB3,LAMB3,13153000,20812000,2448200,8279900,3849000,16843000,11187000,10783000,14179000,4923400,2168800,14149000,26525000,9215200,10120000,2825400,6775300,14344000,9862900,12585000,7220200,66447000
ICLN,CLNS1A,2584000,8163000,2467900,8158900,15488000,11649000,18806000,4659900,7560800,3373200,927870,2049800,2532000,2688800,3783600,2579600,11284000,14865000,2796100,5027500,4591500,11357000
TM165,TMEM165,18717000,31489000,15459000,17702000,48994000,46148000,64487000,19008000,27812000,21767000,11028000,16490000,26981000,9876600,16410000,10654000,41763000,39836000,13193000,33688000,29396000,49383000
TRA2A,TRA2A,9266500,16445000,7717900,6073200,12330000,11593000,29803000,8501600,9759700,11065000,3298100,7929400,3179100,3106800,12824000,2977800,9727200,28798000,5748400,8898500,9231200,18689000
NBN,NBN,7501700,6988200,5456300,5190700,8489800,3375900,4661400,6881900,7281700,8950000,2707100,3623000,2920300,1320000,4509300,2304200,6141400,5518100,4140300,3014600,2995000,2110200
RPAP3,RPAP3,975460,3358500,2177800,2086100,5657000,2029000,5560400,3032800,1152700,2594300,1431900,942540,2617800,3197000,891780,1241000,2759400,5233000,1049200,1791800,2788900,3076000
AHSA1,AHSA1,18423000,58361000,13034000,16016000,41832000,42015000,54669000,17785000,23216000,30724000,7307700,10497000,15585000,14200000,18367000,10831000,62767000,66098000,19724000,24439000,16455000,28388000
ADH7,ADH7,3593400,9468400,5716400,5130300,47671000,8703700,1881100,127700,10564000,8535600,2853000,4864600,4363400,147730,928070,4698600,11437000,11374000,783130,7117700,12123000,100070
SRSF2,SRSF2,21190000,36645000,17261000,26907000,45124000,40252000,42131000,21642000,34261000,23505000,7184900,9498800,14064000,5621100,19370000,8029700,42838000,47613000,19920000,21494000,27682000,52967000
VPS28,VPS28,7019700,12870000,8667400,9186400,19969000,15842000,12208000,13032000,8624200,12586000,5093400,5366200,6662200,3500100,10899000,1249300,14764000,15443000,4577400,7748000,12252000,22659000
PLCG2,PLCG2,2709600,5713300,9968100,3453200,8009900,11099000,15354000,20777000,8162300,14927000,2704700,4942600,1261100,1875600,9341000,7359400,8771000,4414100,11974000,3836000,4476100,18509000
PSB10,PSMB10,12898000,20285000,10461000,16587000,13757000,43973000,50354000,15033000,24096000,27339000,13429000,16981000,11616000,11405000,47822000,14097000,21283000,30757000,25902000,19650000,48456000,109210000
MARE2,MAPRE2,3743400,5926100,6564400,5922800,15039000,5388200,4465900,2938900,3708900,8117600,5076100,5168200,2068600,1651400,11323000,6109800,8393800,8850300,6962700,8859700,13274000,25481000
AOFB,MAOB,23198000,10059000,27361000,7425200,8930400,39875000,10379000,21675000,10455000,22400000,4340200,18264000,13152000,3227200,70715000,8018700,6332700,20707000,72388000,33499000,32626000,26551000
LAMB1,LAMB1,36677000,33311000,8302200,18059000,40570000,13231000,36282000,13942000,15667000,24234000,12798000,17105000,1495400,6881100,31212000,15302000,46176000,22930000,13157000,19658000,25419000,14689000
ODBB,BCKDHB,9805800,5486800,4104000,4108600,4284500,5915700,10138000,4552000,7056200,7316100,3635700,7381700,7284300,1679900,10253000,3774800,11773000,10777000,6330800,13381000,6572100,13986000
RS9,RPS9,20519000,34261000,11856000,13344000,36157000,34223000,53231000,28289000,33689000,26205000,5666400,10003000,13022000,2133600,19023000,7620200,35209000,49657000,15265000,16355000,23706000,51515000
SCAM2,SCAMP2,10251000,13144000,15201000,10757000,13876000,13111000,19797000,8303600,20101000,21358000,8912700,15829000,8477600,5787600,25623000,7935400,28712000,26315000,11176000,15172000,15336000,29178000
PIGR,PIGR,12142000,3376600,32148000,5714800,9424200,3384600,11115000,14026000,28086000,5175700,21138000,17447000,7153400,6070400,400940000,41144000,2764000,3233100,7254000,4818000,16790000,52503000
CPT1A,CPT1A,7137300,12399000,8494200,7935300,32484000,7903700,7329000,6392500,13276000,7092400,3139900,5120700,5475900,2728200,11201000,3665000,14862000,10753000,4576100,12657000,9067800,16583000
TMA16,TMA16,3929800,977110,2892300,5934900,4379000,13219000,16610000,1507800,1260300,1758000,1363800,926360,1263800,1137900,1201800,3291300,1560000,6145800,957240,1917600,1975500,2904100
PUR1,PPAT,2886800,14075000,12595000,5232600,38630000,9741800,19655000,4588400,30002000,20261000,7902400,6220100,8115700,1886600,4429900,1855500,22929000,17076000,6196400,6278200,3740800,6468100
SAA1,SAA1,4758800,5989500,2544400,7018000,17058000,16193000,29893000,7577700,7787000,156530000,2663200,3818000,3621100,2450500,5734900,4605000,13254000,12300000,3042000,5950300,12422000,18880000
WASC3,WASHC3,851900,2003500,1123100,1999200,2055400,1197100,1754900,1095300,1171300,1161600,659330,741330,871690,369360,760790,692140,1693700,1380000,806420,1363200,1479100,2208300
AGR2,AGR2,66981000,14835000,37196000,26446000,45083000,9269200,399390000,10348000,396150000,26688000,120880000,203520000,34483000,12520000,222060000,153930000,15765000,73525000,59273000,18855000,13168000,46558000
HPTR,HPR,3543300,18134000,14002000,17093000,20023000,11671000,1627300,3390100,10005000,4357000,4737700,4506400,2274400,14140000,5364900,16040000,6391300,6051600,11809000,9827300,16607000,7486000
TWF2,TWF2,20292000,27746000,38734000,29753000,39126000,47703000,38269000,38579000,52999000,74128000,17600000,22408000,16555000,18017000,41079000,16214000,70906000,66351000,35409000,51508000,72552000,86165000
GBB4,GNB4,21437000,26418000,37267000,24003000,30092000,37288000,14707000,19316000,43210000,36518000,14775000,29361000,16529000,9975800,35876000,14678000,19043000,58270000,44697000,46872000,49248000,63206000
EWS,EWSR1,13452000,34378000,19152000,25447000,53205000,42355000,43364000,13058000,7127800,25396000,6610300,12333000,13233000,2601400,21812000,8185000,56950000,58152000,17384000,24831000,31319000,40844000
ANK1,ANK1,5403400,7235500,6813900,7479100,14593000,9685200,7758500,9114300,9122700,5075700,10450000,14252000,13341000,12437000,10663000,8762700,13578000,13311000,5632200,8787200,8374500,22097000
CRTAP,CRTAP,3106300,12304000,5164600,6057800,14047000,12395000,14457000,11054000,7229300,6600100,2152300,3858600,7601700,2996700,8153600,4179700,11659000,19734000,4909700,2026400,11666000,12374000
SPEE,SRM,17158000,23336000,22262000,19801000,26474000,32932000,27966000,26416000,22169000,26027000,5582500,16347000,6322100,6516400,34355000,12718000,30894000,34523000,13200000,10724000,13953000,29371000
EF1G,EEF1G,106640000,245630000,139060000,171090000,421320000,250190000,291720000,165200000,224550000,162700000,53177000,84828000,75625000,73944000,146630000,90832000,258080000,329790000,101990000,136240000,214660000,443190000
1433T,YWHAQ,326640000,363780000,271780000,336730000,355770000,395610000,404070000,164390000,205860000,213580000,104840000,156640000,121050000,66838000,255100000,65628000,286400000,764650000,200500000,213250000,352360000,497870000
TYPH,TYMP,56573000,231890000,99953000,107140000,112660000,268440000,113800000,121720000,400140000,347360000,85704000,79770000,87326000,44540000,99734000,48941000,139730000,218040000,132400000,167110000,219930000,474220000
NUP88,NUP88,2362100,3942900,2519700,3247600,9414500,7012700,6997900,2321700,1566300,1251500,850920,1433700,1956600,1034500,4474400,1525100,6647400,8865900,2617800,4997000,5186000,8217800
OPA1,OPA1,15259000,19656000,9174300,9787700,26238000,26472000,24291000,5552400,12588000,10783000,4893000,9546700,8488100,4578000,16935000,7110700,21335000,22379000,9032100,13969000,13218000,27824000
TBC24,TBC1D24,2158600,4132300,1987400,764480,1820000,596480,3913500,935200,5509800,1943300,2495100,3610700,2007300,7985500,2546900,1096600,3039500,4994800,969120,3484300,4908800,14132000
LMAN1,LMAN1,130900000,246290000,123320000,234020000,326690000,234870000,299530000,178540000,182590000,177490000,92778000,128630000,75205000,42328000,180450000,127780000,203160000,336030000,111810000,153780000,250870000,313650000
RL3,RPL3,19227000,54573000,24556000,24537000,53669000,99177000,86140000,45562000,96295000,74573000,18749000,22166000,16166000,4442000,64870000,17483000,120130000,174470000,18132000,61778000,70717000,171430000
MAVS,MAVS,3425600,4751000,4864800,1834100,4974800,6096900,6116200,1959900,4897200,2716800,832960,3943600,1807800,471120,3560100,909770,8775400,16780000,2983600,8891700,5672100,16192000
LRP1,LRP1,17740000,22608000,29711000,38330000,30114000,33552000,22479000,31620000,16525000,47081000,14416000,14116000,5493600,11809000,33398000,8151900,13732000,25564000,36900000,24267000,27979000,23694000
GLTP,GLTP,9412900,12555000,5618700,2446200,11913000,3972800,13461000,6526700,10801000,6438000,1597200,454370,2503600,78614,4847500,1605100,5540200,5585400,3808300,2816400,5883100,9768800
PPM1A,PPM1A,13251000,2054500,1881300,489620,1956200,9190300,6081500,3645000,5807600,5805800,249060,2858000,1867100,182840,3278900,1880800,6091800,5534000,1587800,5202300,4626300,6734800
RUXE,SNRPE,9826300,11830000,3227300,3569700,8673000,16129000,8656100,12343000,15969000,9995600,2868900,5332500,7951700,1561000,24271000,2942500,20879000,28309000,8919700,16410000,5292900,18820000
APOC3,APOC3,21513000,25469000,34005000,32382000,18675000,2807500,6118900,7444600,28541000,8736000,23153000,10974000,19546000,22496000,5929500,17599000,6207800,7560200,6606200,12654000,18325000,10784000
ACO13,ACOT13,4304700,2676700,4163700,3805900,12612000,7452800,8101200,4877800,26394000,7012400,3751400,5566100,3636100,1055600,10361000,2815300,6556200,8203600,3975400,9705700,4972000,15553000
NDUAA,NDUFA10,11270000,11154000,14970000,9597700,29976000,22293000,13823000,16854000,8948200,14814000,5122900,10089000,12970000,6184100,15923000,7484300,15863000,10939000,16109000,13657000,20307000,15921000
AP3D1,AP3D1,11831000,26190000,3097200,2869500,7494500,8946900,6495600,20184000,7576500,17058000,2260700,3895500,4110800,380950,7142500,2236000,11329000,11244000,4295100,11559000,7728100,26083000
CO6,C6,14278000,21993000,15072000,13174000,15256000,8539100,22033000,21629000,18478000,10298000,5259900,6707800,9191700,16207000,10490000,9293100,11075000,13493000,13732000,13138000,12972000,26784000
TPSN,TAPBP,17923000,62555000,17657000,17940000,50275000,55323000,28683000,24545000,79861000,47995000,16719000,18838000,28296000,9089100,45727000,10452000,62136000,63704000,31072000,52615000,48562000,112140000
KPRB,PRPSAP2,7646700,16106000,7615500,11956000,19264000,26050000,29206000,6386200,11973000,9995500,4748000,6089200,3516900,4924600,19085000,3711400,14525000,26094000,11063000,10598000,16467000,23997000
EP15R,EPS15L1,12129000,27514000,23745000,13492000,6594600,14631000,23260000,5609400,12339000,11163000,2518500,6093200,2876700,2032500,17991000,2920700,18503000,22769000,15006000,18603000,8907600,28785000
ADT2,SLC25A5,19205000,31535000,20618000,12460000,66069000,63351000,52101000,19634000,42737000,28946000,11718000,22359000,12796000,2841300,18214000,10493000,32936000,57991000,17699000,34804000,31227000,58071000
ACBP,DBI,17530000,45682000,27366000,40384000,71066000,54001000,115890000,7744200,26942000,76306000,10755000,4090700,16607000,9236000,26168000,23254000,85063000,46996000,18998000,20633000,38112000,106940000
TX1B3,TAX1BP3,20004000,30610000,23734000,17465000,23948000,41027000,26012000,24605000,15394000,22331000,10975000,15883000,12956000,5684000,20197000,11173000,33310000,37703000,17484000,15661000,32099000,27815000
NNRD,NAXD,17177000,4760400,12316000,3686700,3869400,8227200,3043300,2721700,6396200,2560300,2697300,7312500,3710200,9343500,7019100,2624100,8133200,4857400,7477400,4522100,5032500,3302300
HNRPU,HNRNPU,257520000,454950000,261230000,276510000,337270000,491670000,359460000,235230000,210950000,267520000,95159000,183460000,138340000,79533000,378680000,84536000,477450000,606950000,238140000,320340000,228130000,284550000
OSGEP,OSGEP,NA,905650,404580,520290,1865600,1583000,975770,793000,1459700,2103600,643360,122620,1296200,876610,1225500,55397,806810,11213000,708000,877620,1619200,1951900
NOP56,NOP56,13091000,9072900,12397000,7280400,13922000,10118000,10360000,13490000,10185000,9363400,4118300,5524300,4800500,3438100,16347000,4062900,11003000,11207000,6909300,8582500,11487000,13612000
SMAP,SMAP,2212800,9631300,2568000,6727500,16942000,11244000,18290000,1488100,4582500,8730100,3089300,2555200,5908900,1354200,7818200,4136800,27288000,33165000,2458300,6205800,14677000,35438000
PERE,EPX,980690,11522000,27126000,8930400,5064300,12973000,4303200,40865000,4416900,19919000,272910,1241800,1427900,15087000,19008000,1473600,3583900,10112000,1632100,4523800,28531000,39035000
MYH14,MYH14,10888000,7691800,4338500,3667700,19572000,5166700,2980800,3398900,1799800,4508800,927260,3056900,3131100,1135700,2285500,8081100,5296500,19225000,2987100,7690100,5925900,11546000
EIF3M,EIF3M,19295000,31531000,17679000,16347000,46303000,27700000,37514000,17333000,24331000,26580000,5931100,9779400,9755400,3676200,17651000,9701200,32145000,51501000,12646000,10716000,21454000,51518000
MPU1,MPDU1,1714800,4538800,2544800,3555100,7641200,5615300,4825400,3800900,6522200,2744500,973670,1681200,1208800,1451400,5246200,2109800,6438400,6975200,1912100,2353100,772380,5668800
ARHG1,ARHGEF1,3147700,9941200,7428200,4457800,6779100,14120000,15504000,10011000,6981200,14009000,4965600,6118600,5278600,1805700,14605000,3589400,25290000,26223000,8633100,5723500,11589000,27691000
LC7L3,LUC7L3,9826100,27587000,7292200,12594000,20875000,21961000,24695000,12090000,7479200,12564000,4563900,8239200,9214500,3124600,16391000,5661200,20116000,37258000,8796200,10736000,11152000,28986000
MRE11,MRE11,7579200,10852000,10980000,6968600,13635000,5623400,7966000,19753000,20538000,5507700,1347800,6085700,4878400,3164900,11403000,4355400,9824900,15724000,6108100,7419900,7379500,8458700
SNX3,SNX3,14836000,30244000,24439000,16806000,17864000,30327000,26532000,22863000,16262000,32259000,6885100,12131000,5625200,2620400,18948000,7359100,33345000,21291000,17981000,14876000,20442000,37538000
FAF1,FAF1,27419000,2143100,1595100,1498700,2573700,5503400,9501200,1496500,3303600,2349400,2991300,2357500,1057100,187750,3132700,854080,9210500,3479800,3271900,2401700,1748000,3303000
GDIR2,ARHGDIB,184140000,169920000,376980000,234530000,196350000,247640000,223400000,234240000,344710000,329080000,109490000,194610000,155310000,243020000,361160000,167260000,315270000,304050000,379090000,230130000,443280000,669350000
FBP1L,FNBP1L,2477500,2437700,2389900,2145800,4468900,2850000,4680700,2552000,4978000,2032900,1445700,1440100,1495000,1633200,2709200,828570,3894800,4232600,1580400,2237200,3057800,774350
MMP12,MMP12,2953000,6368300,2308600,6735800,8380300,10247000,11723000,2278600,2972400,3040000,4066700,2248900,807100,5908600,4197000,5588400,5382700,11209000,3452400,5275300,6623400,7936600
AL4A1,ALDH4A1,29700000,3035700,14168000,4168800,13312000,9783600,7333800,2836500,7213900,9628100,2484400,6076600,5588000,6754400,9877300,3151900,5251700,7205400,6824100,22360000,8167000,13085000
PXDN,PXDN,2795800,5132800,12900000,12081000,11379000,5730000,12197000,8982100,4712900,3097400,3747900,1386900,2697100,3137200,7718000,5957400,14679000,3428100,7563100,10988000,7367200,19478000
PTPRC,PTPRC,16947000,18864000,33968000,37446000,50940000,39186000,39008000,33353000,58537000,49514000,11448000,23522000,11797000,32883000,42708000,16318000,38871000,46722000,59268000,51300000,68188000,101720000
HXK1,HK1,66449000,39099000,36268000,22883000,98675000,53487000,24933000,29856000,43068000,32297000,23337000,34771000,32034000,7744100,6298700,8022000,62581000,67644000,28824000,60639000,52714000,41330000
LRC47,LRRC47,12725000,21439000,13048000,14484000,26664000,19959000,23760000,11800000,18080000,17382000,7285500,9638600,6797700,2676600,16642000,6511100,19611000,32520000,10221000,12030000,10462000,24267000
LYAG,GAA,46888000,56870000,62425000,28466000,54559000,68039000,34022000,15795000,49285000,76615000,12216000,25239000,25687000,6468500,49505000,20110000,174400000,195370000,21141000,81220000,35961000,59748000
HNRLL,HNRNPLL,6205600,10494000,7387800,9094900,12145000,11923000,15426000,9216100,6824700,8468700,4579000,7053300,3589100,5976500,6521200,2964100,14169000,11520000,6033200,6520900,11516000,14788000
DAD1,DAD1,4938700,5459900,6838400,15109000,14070000,11694000,20184000,8108000,13497000,7967700,1626000,2985100,3414200,3737400,9047000,4495500,12026000,11496000,6114400,5850100,11776000,22591000
ACSF2,ACSF2,5328000,24402000,3070600,3834700,11212000,25440000,6092100,34876000,16697000,7196600,3387700,3594700,6773000,1126100,6704800,3576100,9103000,21820000,5393000,28814000,16613000,23459000
SCRIB,SCRIB,7314100,9504900,6631000,8070400,7734100,4206800,9923900,5169000,2876100,6452800,1699900,3671400,2228700,1742100,8124000,2867800,6409900,13577000,9203200,3818500,3590600,12799000
TPR,TPR,16717000,23592000,16107000,15467000,25474000,34081000,32316000,13219000,6975100,17805000,4540500,7100600,7965400,4097000,14331000,5418100,35618000,45968000,10923000,21508000,13097000,43627000
ADDG,ADD3,12120000,15861000,19274000,7745600,9340900,20306000,14771000,8621500,3261800,16587000,5697500,8961100,5185500,1370900,19247000,8527500,13854000,19594000,15600000,5961400,10387000,11660000
CD5L,CD5L,1993300,1806500,1177400,4928200,2445900,1524700,6007400,21296000,1188600,804620,2043900,2045100,82039,8414300,5439000,3103200,261640,761000,1612300,1650000,6192200,4435300
CD109,CD109,13988000,8219700,7963600,11749000,20523000,18737000,19111000,8013200,6777100,11021000,6852800,5455800,3477600,4565400,13452000,3376000,12134000,15869000,11425000,10911000,14376000,26700000
TFAM,TFAM,6167800,4074400,2151000,3351300,7040300,5200800,6505000,3272900,6869100,5816700,2023600,2584300,3944300,2022800,5901500,1447500,10575000,16393000,3276300,5750000,6838600,12093000
SEPT8,SEPTIN8,8963200,22923000,14086000,19129000,25517000,21966000,19210000,21409000,13046000,19876000,9404400,7001600,6669600,5405500,17478000,7591300,16135000,26386000,19489000,12799000,27962000,18093000
OLFL1,OLFML1,8835500,13911000,32767000,9454600,12640000,24228000,18326000,29149000,10226000,10992000,5756700,6243100,10446000,4506000,14084000,5713000,8169500,12354000,63515000,15306000,13203000,21569000
ERGI2,ERGIC2,2942500,5143800,2543000,2302500,3893500,4226000,7291600,3432900,6930900,NA,1562800,2085100,7617000,1185600,3150000,7033800,18554000,4725700,3381700,2132200,4600800,8941000
PBDC1,PBDC1,8280000,17030000,9342600,10170000,16649000,14192000,25635000,7443700,13057000,14234000,4369900,5021400,4096300,3540700,5250400,6967400,12023000,13844000,8393800,8604800,14921000,32872000
OTUB1,OTUB1,24120000,34332000,23384000,29137000,45626000,38259000,48205000,22783000,24012000,30464000,10131000,16257000,17547000,9908100,25590000,15453000,28256000,46909000,24040000,25473000,33338000,52492000
NIT2,NIT2,35414000,49169000,33762000,16492000,51996000,67926000,67269000,16211000,23353000,40564000,17442000,14583000,18726000,7199900,42063000,16332000,27298000,96079000,33687000,30227000,35373000,54994000
GSLG1,GLG1,60979000,40192000,34598000,38907000,39548000,35156000,32692000,31888000,30407000,39621000,16989000,38463000,20525000,10758000,40832000,13130000,44338000,58996000,21177000,27612000,30621000,31658000
GFPT1,GFPT1,7840300,19247000,9612200,10812000,46032000,21164000,58108000,9135300,69147000,15565000,11207000,18085000,10062000,3022700,17003000,19910000,26892000,36808000,18282000,22815000,29285000,113390000
CASP1,CASP1,8757200,9615300,14458000,7519200,10338000,18202000,14303000,9821300,20774000,20936000,11214000,10243000,4938600,6719700,16760000,4224300,10072000,14258000,14494000,19551000,17855000,38304000
KNG1,KNG1,52780000,86102000,160000000,107840000,131110000,88829000,100300000,187390000,117970000,73224000,79185000,74813000,59494000,143250000,110040000,57578000,48694000,48604000,106910000,63794000,121610000,133520000
SC23A,SEC23A,21415000,37465000,17031000,13292000,42549000,34348000,23581000,37651000,23915000,20801000,11484000,14509000,10232000,4865100,26509000,8566000,40087000,47291000,17290000,25992000,21056000,35383000
DDI2,DDI2,15136000,9578700,9166800,11718000,33897000,13524000,22218000,7783100,13271000,11866000,4447100,11160000,9850500,6683000,7444300,6399700,20893000,10558000,12896000,12582000,12121000,26554000
